127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/js/angular/controllers/files.js HTTP/1.1" 200 4392
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/js/angular/controllers/query.js HTTP/1.1" 200 3955
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/js/angular/controllers/stream.js HTTP/1.1" 200 6506
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/js/angular/controllers/plugins.js HTTP/1.1" 200 5950
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/js/angular/controllers/replication.js HTTP/1.1" 200 9209
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/js/angular/controllers/segments.js HTTP/1.1" 200 3693
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/js/angular/controllers/schema.js HTTP/1.1" 200 24078
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/box.png HTTP/1.1" 200 508
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/loader.gif HTTP/1.1" 200 1553
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/dashboard.png HTTP/1.1" 200 646
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/information-white.png HTTP/1.1" 200 707
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/inbox-document-text.png HTTP/1.1" 200 675
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/solr.svg HTTP/1.1" 200 9383
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/gear.png HTTP/1.1" 200 736
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/network-cloud.png HTTP/1.1" 200 623
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/asterisk.png HTTP/1.1" 200 682
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/molecule.png HTTP/1.1" 200 1657
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/folder-tree.png HTTP/1.1" 200 518
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/download-cloud.png HTTP/1.1" 200 1643
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/documents-stack.png HTTP/1.1" 200 594
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/databases.png HTTP/1.1" 200 661
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/database--plus.png HTTP/1.1" 200 664
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/jar.png HTTP/1.1" 200 805
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/ui-accordion.png HTTP/1.1" 200 583
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/home.png HTTP/1.1" 200 752
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/funnel.png HTTP/1.1" 200 591
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/document-import.png HTTP/1.1" 200 688
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/magnifier.png HTTP/1.1" 200 700
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/folder.png HTTP/1.1" 200 476
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/node.png HTTP/1.1" 200 548
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/block.png HTTP/1.1" 200 630
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/book-open-text.png HTTP/1.1" 200 628
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/system-monitor.png HTTP/1.1" 200 547
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/document-text.png HTTP/1.1" 200 592
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/construction.png HTTP/1.1" 200 558
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/bug.png HTTP/1.1" 200 704
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/mail.png HTTP/1.1" 200 505
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/script-code.png HTTP/1.1" 200 568
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/users.png HTTP/1.1" 200 870
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/chosen-sprite.png HTTP/1.1" 200 559
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/partials/index.html HTTP/1.1" 200 8039
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/server.png HTTP/1.1" 200 423
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/clock-select.png HTTP/1.1" 200 741
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/property.png HTTP/1.1" 200 769
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/solr-ico.png HTTP/1.1" 200 978
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/arrow-circle.png HTTP/1.1" 200 802
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/lucene-ico.png HTTP/1.1" 200 1508
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/memory.png HTTP/1.1" 200 349
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/processor.png HTTP/1.1" 200 635
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/ico/terminal.png HTTP/1.1" 200 492
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/admin/cores?_=1574642302801&indexInfo=false&wt=json HTTP/1.1" 200 336
127.0.0.1 - - [25/Nov/2019:08:38:22 +0800] "GET /solr/img/favicon.ico?_=6.6.5 HTTP/1.1" 200 3262
127.0.0.1 - - [25/Nov/2019:08:38:23 +0800] "GET /solr/admin/info/system?_=1574642302803&wt=json HTTP/1.1" 200 2601
127.0.0.1 - - [25/Nov/2019:08:38:23 +0800] "GET /solr/admin/info/system?_=1574642302803&wt=json HTTP/1.1" 200 2597
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/partials/core_overview.html HTTP/1.1" 200 6925
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/admin/cores?_=1574642302801&indexInfo=false&wt=json HTTP/1.1" 200 336
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/img/ico/chart.png HTTP/1.1" 200 659
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/core1/replication?_=1574642305504&command=details&wt=json HTTP/1.1" 200 572
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/img/ico/tick.png HTTP/1.1" 200 634
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/img/ico/slash.png HTTP/1.1" 200 752
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/core1/admin/luke?_=1574642305503&numTerms=0&show=index&wt=json HTTP/1.1" 200 588
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/core1/admin/ping?_=1574642302803&action=status&ts=1574642302803&wt=json HTTP/1.1" 503 363
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/img/ico/clipboard-list.png HTTP/1.1" 200 640
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/core1/admin/system?_=1574642305503&wt=json HTTP/1.1" 200 3006
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/admin/info/system?_=1574642302803&wt=json HTTP/1.1" 200 2598
127.0.0.1 - - [25/Nov/2019:08:38:25 +0800] "GET /solr/img/ico/hammer-screwdriver.png HTTP/1.1" 200 786
